team,ast_to,drb,efg,blk,ft_rate,fouls_poss,orb_pct,tov_pct,def.ast_to,def.efg,def.ft_rate,def.fouls_poss,def.orb_pct,def.tov_pct,win.,TeamID
canisius,0.7222222222222222,23,0.5576923076923077,6,0.3269230769230769,0.27387880862718245,0.24,0.22970903522205208,0.75,0.4589041095890411,0.1780821917808219,0.2838709677419355,0.425,0.1279317697228145,0,1145
buffalo,0.75,19,0.4589041095890411,2,0.1780821917808219,0.2838709677419355,0.425,0.1279317697228145,0.7222222222222222,0.5576923076923077,0.3269230769230769,0.27387880862718245,0.24,0.22970903522205208,1,1138
pennsylvania,1.5555555555555556,23,0.4236111111111111,3,0.1527777777777778,0.2529358626919602,0.1590909090909091,0.10071620411817368,0.8125,0.5357142857142857,0.35714285714285715,0.28795811518324604,0.23333333333333334,0.19379844961240308,0,1335
fairfield,0.8125,37,0.5357142857142857,5,0.35714285714285715,0.28795811518324604,0.23333333333333334,0.19379844961240308,1.5555555555555556,0.4236111111111111,0.1527777777777778,0.2529358626919602,0.1590909090909091,0.10071620411817368,1,1193
illinois-state,2.1818181818181817,19,0.6153846153846154,5,0.1076923076923077,0.32258064516129037,0.09090909090909091,0.13246628131021193,1.4545454545454546,0.5461538461538461,0.4153846153846154,0.19857275829972074,0.40625,0.11920242739488512,0,1229
florida-gulf-coast,1.4545454545454546,30,0.5461538461538461,5,0.4153846153846154,0.19857275829972074,0.40625,0.11920242739488512,2.1818181818181817,0.6153846153846154,0.1076923076923077,0.32258064516129037,0.09090909090909091,0.13246628131021193,1,1195
iupui,0.7272727272727273,19,0.33962264150943394,1,0.32075471698113206,0.25196850393700787,0.29411764705882354,0.15109890109890112,1.6666666666666667,0.5535714285714286,0.10714285714285714,0.3241491085899514,0.3870967741935484,0.16375545851528384,0,1237
bradley,1.6666666666666667,24,0.5535714285714286,3,0.10714285714285714,0.3241491085899514,0.3870967741935484,0.16375545851528384,0.7272727272727273,0.33962264150943394,0.32075471698113206,0.25196850393700787,0.29411764705882354,0.15109890109890112,1,1133
alabama-am,0.22727272727272727,34,0.3709677419354839,1,0.11290322580645161,0.2130325814536341,0.21621621621621623,0.2513711151736746,0.7333333333333333,0.4076923076923077,0.12307692307692308,0.15819896562214786,0.10526315789473684,0.17498833411105927,0,1105
ohio,0.7333333333333333,29,0.4076923076923077,6,0.12307692307692308,0.15819896562214786,0.10526315789473684,0.17498833411105927,0.22727272727272727,0.3709677419354839,0.11290322580645161,0.2130325814536341,0.21621621621621623,0.2513711151736746,1,1325
dartmouth,2.3333333333333335,20,0.4485294117647059,6,0.23529411764705882,0.311587147030185,0.16666666666666666,0.07285089849441477,0.9333333333333333,0.4666666666666667,0.36666666666666664,0.2302742973247545,0.4117647058823529,0.17265193370165746,0,1171
quinnipiac,0.9333333333333333,30,0.4666666666666667,8,0.36666666666666664,0.2302742973247545,0.4117647058823529,0.17265193370165746,2.3333333333333335,0.4485294117647059,0.23529411764705882,0.311587147030185,0.16666666666666666,0.07285089849441477,1,1346
western-michigan,2.875,26,0.5869565217391305,1,0.3188405797101449,0.16943629846855654,0.5,0.088261253309797,0.8888888888888888,0.5238095238095238,0.09523809523809523,0.2636783124588003,0.23529411764705882,0.2152080344332855,1,1444
appalachian-state,1.9375,53,0.75,8,0.1875,0.16515276630883566,0.5806451612903226,0.14831294030404155,0.3,0.18115942028985507,0.13043478260869565,0.21476510067114093,0.05357142857142857,0.2092050209205021,1,1111
brown,1.3,26,0.4551282051282051,5,0.44871794871794873,0.29411764705882354,0.4782608695652174,0.0946969696969697,0.6666666666666666,0.4576271186440678,0.4067796610169492,0.3304809678371201,0.21212121212121213,0.19858781994704325,1,1135
drake,1.7272727272727273,31,0.7321428571428571,2,0.3392857142857143,0.1959412176347096,0.23076923076923078,0.14345331246739695,0.5,0.47058823529411764,0.11764705882352941,0.2542372881355932,0.06060606060606061,0.24820739106453388,1,1179
saint-peters,0.8571428571428571,19,0.37755102040816324,0,0.061224489795918366,0.32,0.18181818181818182,0.21472392638036808,0.9230769230769231,0.5425531914893617,0.2127659574468085,0.17842660178426603,0.20833333333333334,0.19649334945586458,0,1389
la-salle,0.9230769230769231,27,0.5425531914893617,0,0.2127659574468085,0.17842660178426603,0.20833333333333334,0.19649334945586458,0.8571428571428571,0.37755102040816324,0.061224489795918366,0.32,0.18181818181818182,0.21472392638036808,1,1247
stephen-f-austin,0.45,27,0.5,4,0.32142857142857145,0.3018867924528302,0.4411764705882353,0.22988505747126436,0.5454545454545454,0.42857142857142855,0.23214285714285715,0.26734563971992364,0.22857142857142856,0.25605214152700184,1,1372
longwood,0.5454545454545454,19,0.42857142857142855,8,0.23214285714285715,0.26734563971992364,0.22857142857142856,0.25605214152700184,0.45,0.5,0.32142857142857145,0.3018867924528302,0.4411764705882353,0.22988505747126436,0,1255
arkansas-little-rock,1.6363636363636365,19,0.6,2,0.11666666666666667,0.20114942528735633,0.32142857142857145,0.14095335725269093,1.375,0.6792452830188679,0.16981132075471697,0.2152080344332855,0.20833333333333334,0.21540118470651587,0,1114
north-dakota-state,1.625,20,0.4722222222222222,2,0.2777777777777778,0.32061068702290074,0.1875,0.11299435028248588,3.5,0.6226415094339622,0.3584905660377358,0.2907421576128539,0.23076923076923078,0.08517887563884156,0,1295
california-santa-barbara,3.5,26,0.6226415094339622,4,0.3584905660377358,0.2907421576128539,0.23076923076923078,0.08517887563884156,1.625,0.4722222222222222,0.2777777777777778,0.32061068702290074,0.1875,0.11299435028248588,1,1364
notre-dame,1.25,31,0.5849056603773585,3,0.18867924528301888,0.23961661341853036,0.2222222222222222,0.11757789535567315,2.25,0.3769230769230769,0.13846153846153847,0.1801801801801802,0.24390243902439024,0.052603892688058915,1,1323
depaul,2.25,21,0.3769230769230769,2,0.13846153846153847,0.1801801801801802,0.24390243902439024,0.052603892688058915,1.25,0.5849056603773585,0.18867924528301888,0.23961661341853036,0.2222222222222222,0.11757789535567315,0,1177
st-francis-ny,1.3,21,0.43846153846153846,3,0.2,0.37356321839080464,0.34210526315789475,0.12189176011701608,0.875,0.4152542372881356,0.5254237288135594,0.22553897180762852,0.38235294117647056,0.09216589861751152,0,1383
duquesne,0.875,25,0.4152542372881356,6,0.5254237288135594,0.22553897180762852,0.38235294117647056,0.09216589861751152,1.3,0.43846153846153846,0.2,0.37356321839080464,0.34210526315789475,0.12189176011701608,1,1182
wagner,0.75,26,0.41818181818181815,5,0.2545454545454545,0.3023758099352052,0.32432432432432434,0.19831432821021316,0.4375,0.3617021276595745,0.3191489361702128,0.35587188612099646,0.21212121212121213,0.2099737532808399,1,1447
njit,0.4375,25,0.3617021276595745,4,0.3191489361702128,0.35587188612099646,0.21212121212121213,0.2099737532808399,0.75,0.41818181818181815,0.2545454545454545,0.3023758099352052,0.32432432432432434,0.19831432821021316,0,1312
cleveland-state,0.4666666666666667,33,0.42727272727272725,4,0.18181818181818182,0.2552648372686663,0.0975609756097561,0.18418467583497053,0.4375,0.375,0.296875,0.30615248748896084,0.15384615384615385,0.17754105636928538,0,1156
akron,0.4375,37,0.375,5,0.296875,0.30615248748896084,0.15384615384615385,0.17754105636928538,0.4666666666666667,0.42727272727272725,0.18181818181818182,0.2552648372686663,0.0975609756097561,0.18418467583497053,1,1103
utah-valley,0.6842105263157895,21,0.417910447761194,0,0.19402985074626866,0.18382352941176472,0.3076923076923077,0.20421324161650903,2.3636363636363638,0.6027397260273972,0.1506849315068493,0.20233955105912108,0.38235294117647056,0.12024486226497595,0,1430
duke,2.3636363636363638,27,0.6027397260273972,7,0.1506849315068493,0.20233955105912108,0.38235294117647056,0.12024486226497595,0.6842105263157895,0.417910447761194,0.19402985074626866,0.18382352941176472,0.3076923076923077,0.20421324161650903,1,1181
elon,1.1875,40,0.6044776119402985,4,0.22388059701492538,0.1509433962264151,0.41935483870967744,0.17429193899782136,1.0666666666666667,0.4140625,0,0.2876757110166721,0.06976744186046512,0.18882175226586104,1,1189
lehigh,1.375,26,0.48,4,0.16,0.26557066076509644,0.2608695652173913,0.08841732979664013,0.8125,0.5181818181818182,0.34545454545454546,0.15233259282767375,0.1875,0.19102196752626552,1,1250
marist,0.8125,34,0.5181818181818182,5,0.34545454545454546,0.15233259282767375,0.1875,0.19102196752626552,1.375,0.48,0.16,0.26557066076509644,0.2608695652173913,0.08841732979664013,0,1265
north-florida,0.4782608695652174,22,0.53,4,0.26,0.25308025308025306,0.20689655172413793,0.28578528827037775,2.1,0.528169014084507,0.15492957746478872,0.1566579634464752,0.35294117647058826,0.11358473421172194,0,1316
michigan,2.1,23,0.528169014084507,2,0.15492957746478872,0.1566579634464752,0.35294117647058826,0.11358473421172194,0.4782608695652174,0.53,0.26,0.25308025308025306,0.20689655172413793,0.28578528827037775,1,1276
north-carolina-wilmington,2.3,33,0.55625,5,0.2,0.14882655981682885,0.35714285714285715,0.09858044164037855,0.9375,0.4666666666666667,0.14666666666666667,0.24655121808042266,0.26666666666666666,0.1654259718775848,1,1423
presbyterian,1.125,25,0.6102941176470589,3,0.35294117647058826,0.22208513263417645,0.4482758620689655,0.08628127696289906,0.8125,0.5847457627118644,0.3050847457627119,0.3312883435582822,0.10714285714285714,0.1909307875894988,1,1342
sam-houston-state,3,36,0.5384615384615384,1,0.3230769230769231,0.20956123117223316,0.2702702702702703,0.1053370786516854,0.6111111111111112,0.35714285714285715,0.19642857142857142,0.26540284360189575,0.05263157894736842,0.22332506203473948,1,1358
south-dakota,1.3636363636363635,36,0.5441176470588235,7,0.19117647058823528,0.17099638276882603,0.3333333333333333,0.1259157509157509,1.0909090909090908,0.375,0.06944444444444445,0.23583360628889616,0.21739130434782608,0.12778810408921934,1,1377
saint-josephs,2.1666666666666665,21,0.5428571428571428,5,0.15714285714285714,0.304635761589404,0.23809523809523808,0.07075471698113207,1.75,0.6607142857142857,0.42857142857142855,0.24747639205470529,0.19230769230769232,0.1485884101040119,0,1386
toledo,1.75,32,0.6607142857142857,5,0.42857142857142855,0.24747639205470529,0.19230769230769232,0.1485884101040119,2.1666666666666665,0.5428571428571428,0.15714285714285714,0.304635761589404,0.23809523809523808,0.07075471698113207,1,1405
eastern-illinois,0.7333333333333333,27,0.4444444444444444,4,0.19047619047619047,0.37558685446009393,0.3157894736842105,0.17458100558659218,0.9166666666666666,0.4298245614035088,0.40350877192982454,0.21761305678340698,0.34146341463414637,0.1392757660167131,0,1183
nebraska,0.9166666666666666,26,0.4298245614035088,9,0.40350877192982454,0.21761305678340698,0.34146341463414637,0.1392757660167131,0.7333333333333333,0.4444444444444444,0.19047619047619047,0.37558685446009393,0.3157894736842105,0.17458100558659218,1,1304
